geneID	PR	FR	PS	FS	Tsil	Trepl	nout	npop
Potra000016g00090	5	13	7	7	3107111	15039033	1	94
Potra000016g00091	4	18	5	6	3107111	15039033	1	94
Potra000016g00092	10	24	6	10	3107111	15039033	1	94
Potra000016g00094	20	22	9	7	3107111	15039033	1	94
Potra000016g00095	29	21	8	3	3107111	15039033	1	94
Potra000017g00096	1	0	3	0	3107111	15039033	1	94
Potra000017g00097	37	21	14	5	3107111	15039033	1	94
Potra000017g31135	4	1	3	0	3107111	15039033	1	94
Potra000018g00098	11	6	2	3	3107111	15039033	1	94
Potra000018g00099	2	5	1	12	3107111	15039033	1	94
Potra000019g00100	1	9	3	5	3107111	15039033	1	94
Potra000019g00101	66	21	22	12	3107111	15039033	1	94
Potra000020g00102	4	1	1	0	3107111	15039033	1	94
Potra000020g00103	4	2	1	2	3107111	15039033	1	94
Potra000021g00105	5	6	2	1	3107111	15039033	1	94
Potra000021g00106	11	8	12	8	3107111	15039033	1	94
Potra000022g00107	15	11	4	6	3107111	15039033	1	94
Potra000022g00108	20	27	7	14	3107111	15039033	1	94
Potra000022g00109	9	7	3	2	3107111	15039033	1	94
Potra000023g00113	10	6	6	8	3107111	15039033	1	94
Potra000023g00114	12	15	17	11	3107111	15039033	1	94
Potra000023g00115	8	5	7	5	3107111	15039033	1	94
Potra000024g00116	7	4	1	2	3107111	15039033	1	94
Potra000024g00117	17	16	6	4	3107111	15039033	1	94
Potra000024g00118	21	17	18	29	3107111	15039033	1	94
Potra000024g00119	18	18	13	8	3107111	15039033	1	94
Potra000024g00121	9	3	6	7	3107111	15039033	1	94
Potra000024g00122	8	8	3	2	3107111	15039033	1	94
Potra000025g00123	23	10	19	7	3107111	15039033	1	94
Potra000025g00124	4	2	1	0	3107111	15039033	1	94
Potra000025g00125	22	15	9	4	3107111	15039033	1	94
Potra000025g00126	3	3	4	3	3107111	15039033	1	94
Potra000025g00127	9	3	9	3	3107111	15039033	1	94
Potra000026g00128	15	10	4	2	3107111	15039033	1	94
Potra000026g00131	9	3	5	6	3107111	15039033	1	94
Potra000026g00133	2	5	1	9	3107111	15039033	1	94
Potra000027g00135	7	7	8	7	3107111	15039033	1	94
Potra000028g00136	33	31	18	11	3107111	15039033	1	94
Potra000028g00137	14	13	9	2	3107111	15039033	1	94
Potra000029g00140	26	17	17	8	3107111	15039033	1	94
Potra000029g00141	1	2	4	2	3107111	15039033	1	94
Potra000029g00142	11	3	2	5	3107111	15039033	1	94
Potra000029g00144	42	23	31	15	3107111	15039033	1	94
Potra000029g00145	20	14	11	4	3107111	15039033	1	94
Potra000030g00149	12	1	9	4	3107111	15039033	1	94
Potra000030g00150	13	3	9	5	3107111	15039033	1	94
Potra000030g00152	8	2	13	4	3107111	15039033	1	94
Potra000030g00153	2	4	1	3	3107111	15039033	1	94
Potra000030g00155	3	2	1	2	3107111	15039033	1	94
Potra000030g34484	1	2	3	3	3107111	15039033	1	94
Potra000031g00156	8	3	13	9	3107111	15039033	1	94
Potra000031g00157	7	4	3	4	3107111	15039033	1	94
Potra000031g00158	23	21	10	10	3107111	15039033	1	94
Potra000032g00159	11	13	13	17	3107111	15039033	1	94
Potra000032g00160	27	11	27	11	3107111	15039033	1	94
Potra000032g00161	9	6	7	3	3107111	15039033	1	94
Potra000032g00163	50	54	31	24	3107111	15039033	1	94
Potra000032g32117	3	7	5	4	3107111	15039033	1	94
Potra000032g35152	10	10	1	1	3107111	15039033	1	94
Potra000033g00165	57	42	13	16	3107111	15039033	1	94
Potra000033g00168	4	5	2	7	3107111	15039033	1	94
Potra000033g00169	15	6	5	2	3107111	15039033	1	94
Potra000033g00170	21	18	7	5	3107111	15039033	1	94
Potra000033g00171	13	11	6	6	3107111	15039033	1	94
Potra000033g00172	16	11	12	10	3107111	15039033	1	94
Potra000033g00173	0	2	5	4	3107111	15039033	1	94
Potra000035g00176	8	2	0	2	3107111	15039033	1	94
Potra000035g00177	36	12	10	7	3107111	15039033	1	94
Potra000036g00178	6	7	1	0	3107111	15039033	1	94
Potra000036g00180	5	7	6	5	3107111	15039033	1	94
Potra000036g00181	2	1	2	2	3107111	15039033	1	94
Potra000037g00182	11	9	0	1	3107111	15039033	1	94
Potra000037g00184	52	35	16	5	3107111	15039033	1	94
Potra000038g00185	25	20	20	12	3107111	15039033	1	94
Potra000038g00186	6	11	4	3	3107111	15039033	1	94
Potra000039g00188	8	1	8	1	3107111	15039033	1	94
Potra000039g00189	10	15	8	5	3107111	15039033	1	94
Potra000039g00190	15	13	10	3	3107111	15039033	1	94
Potra000039g00191	0	0	2	2	3107111	15039033	1	94
Potra000040g00193	10	10	15	6	3107111	15039033	1	94
Potra000040g00194	5	4	5	4	3107111	15039033	1	94
Potra000040g00195	86	40	36	20	3107111	15039033	1	94
Potra000041g00197	19	9	12	5	3107111	15039033	1	94
Potra000041g00198	14	5	7	8	3107111	15039033	1	94
Potra000041g00199	2	1	0	1	3107111	15039033	1	94
Potra000041g00202	34	5	19	3	3107111	15039033	1	94
Potra000041g00203	6	8	4	9	3107111	15039033	1	94
Potra000042g00204	10	5	5	3	3107111	15039033	1	94
Potra000042g00205	15	6	17	7	3107111	15039033	1	94
Potra000043g00207	8	9	2	2	3107111	15039033	1	94
Potra000045g00208	3	3	7	5	3107111	15039033	1	94
Potra000045g00209	1	0	15	4	3107111	15039033	1	94
Potra000048g00210	3	5	4	6	3107111	15039033	1	94
Potra000049g35803	0	0	0	0	3107111	15039033	1	94
Potra000050g00212	5	9	1	3	3107111	15039033	1	94
Potra000050g00214	18	5	6	1	3107111	15039033	1	94
Potra000051g00215	8	3	7	4	3107111	15039033	1	94
Potra000052g00217	6	6	3	0	3107111	15039033	1	94
Potra000053g00219	45	17	20	17	3107111	15039033	1	94
Potra000053g00220	57	50	41	78	3107111	15039033	1	94
Potra000054g00221	0	3	10	9	3107111	15039033	1	94
Potra000055g00223	0	0	1	1	3107111	15039033	1	94
Potra000056g00224	13	9	9	8	3107111	15039033	1	94
Potra000057g00226	10	10	10	6	3107111	15039033	1	94
Potra000057g33008	10	3	0	0	3107111	15039033	1	94
Potra000059g00227	13	3	7	3	3107111	15039033	1	94
Potra000059g00228	2	0	4	1	3107111	15039033	1	94
Potra000059g00229	3	2	0	1	3107111	15039033	1	94
Potra000059g00230	3	3	1	1	3107111	15039033	1	94
Potra000059g00232	27	12	8	5	3107111	15039033	1	94
Potra000059g00234	6	6	3	3	3107111	15039033	1	94
Potra000059g00235	2	2	3	1	3107111	15039033	1	94
Potra000059g00236	6	0	2	2	3107111	15039033	1	94
Potra000059g00237	11	20	7	10	3107111	15039033	1	94
Potra000060g00238	21	24	18	8	3107111	15039033	1	94
Potra000061g00240	24	4	9	2	3107111	15039033	1	94
Potra000061g00241	9	9	3	1	3107111	15039033	1	94
Potra000061g00242	4	7	5	3	3107111	15039033	1	94
Potra000061g33054	0	0	0	0	3107111	15039033	1	94
Potra000061g35180	6	0	1	0	3107111	15039033	1	94
Potra000062g00243	15	10	8	9	3107111	15039033	1	94
Potra000062g00244	34	13	14	10	3107111	15039033	1	94
Potra000065g00247	11	7	17	8	3107111	15039033	1	94
Potra000066g00248	11	0	6	4	3107111	15039033	1	94
Potra000066g00249	24	8	7	10	3107111	15039033	1	94
Potra000067g00250	1	6	4	2	3107111	15039033	1	94
Potra000067g00251	6	4	2	2	3107111	15039033	1	94
Potra000069g00253	4	0	6	2	3107111	15039033	1	94
Potra000069g00254	33	12	14	12	3107111	15039033	1	94
Potra000069g00255	19	16	16	10	3107111	15039033	1	94
Potra000069g33201	5	1	1	0	3107111	15039033	1	94
Potra000070g00256	12	7	5	10	3107111	15039033	1	94
Potra000071g00257	9	0	14	0	3107111	15039033	1	94
Potra000071g00260	32	8	7	4	3107111	15039033	1	94
Potra000071g00261	1	0	2	1	3107111	15039033	1	94
Potra000072g00262	14	3	3	1	3107111	15039033	1	94
Potra000072g00263	4	3	0	0	3107111	15039033	1	94
Potra000072g00264	0	7	4	3	3107111	15039033	1	94
Potra000075g00269	7	2	4	0	3107111	15039033	1	94
Potra000076g00271	2	4	2	3	3107111	15039033	1	94
Potra000076g00272	7	13	4	4	3107111	15039033	1	94
Potra000076g00273	13	12	13	11	3107111	15039033	1	94
Potra000076g00274	48	36	16	18	3107111	15039033	1	94
Potra000076g00275	1	4	1	0	3107111	15039033	1	94
Potra000078g00276	11	6	7	1	3107111	15039033	1	94
Potra000079g00279	0	0	0	0	3107111	15039033	1	94
Potra000079g00280	23	7	8	2	3107111	15039033	1	94
Potra000079g00281	12	23	4	4	3107111	15039033	1	94
Potra000080g00283	33	15	32	19	3107111	15039033	1	94
Potra000081g00285	15	3	11	4	3107111	15039033	1	94
Potra000081g00286	1	0	0	0	3107111	15039033	1	94
Potra000081g00287	2	0	5	5	3107111	15039033	1	94
Potra000082g00288	21	10	13	16	3107111	15039033	1	94
Potra000082g00289	4	1	5	5	3107111	15039033	1	94
Potra000084g00291	19	16	8	12	3107111	15039033	1	94
Potra000085g00292	8	4	8	9	3107111	15039033	1	94
Potra000085g00293	6	2	6	2	3107111	15039033	1	94
Potra000086g00294	11	4	15	2	3107111	15039033	1	94
Potra000086g00295	7	1	7	2	3107111	15039033	1	94
Potra000087g00296	15	4	6	4	3107111	15039033	1	94
Potra000087g00297	0	0	0	0	3107111	15039033	1	94
Potra000087g00298	27	16	18	6	3107111	15039033	1	94
Potra000088g00299	60	33	22	15	3107111	15039033	1	94
Potra000089g00301	9	5	1	4	3107111	15039033	1	94
Potra000089g00302	0	0	0	0	3107111	15039033	1	94
Potra000089g33466	0	0	0	0	3107111	15039033	1	94
Potra000091g00303	8	4	10	3	3107111	15039033	1	94
Potra000091g00304	41	33	15	11	3107111	15039033	1	94
Potra000092g00305	9	10	20	12	3107111	15039033	1	94
Potra000092g00306	5	8	18	4	3107111	15039033	1	94
Potra000092g00308	43	18	38	16	3107111	15039033	1	94
Potra000092g00309	8	4	10	3	3107111	15039033	1	94
Potra000092g35066	0	0	0	0	3107111	15039033	1	94
Potra000093g00311	6	4	2	1	3107111	15039033	1	94
Potra000093g00313	10	5	7	6	3107111	15039033	1	94
Potra000095g00318	34	12	23	12	3107111	15039033	1	94
Potra000095g35394	0	0	0	0	3107111	15039033	1	94
Potra000096g00321	39	13	17	13	3107111	15039033	1	94
Potra000097g00323	5	2	2	0	3107111	15039033	1	94
Potra000097g00324	6	0	6	5	3107111	15039033	1	94
Potra000099g00326	17	24	13	8	3107111	15039033	1	94
Potra000099g00329	8	12	15	5	3107111	15039033	1	94
Potra000099g00330	1	0	2	2	3107111	15039033	1	94
Potra000100g00333	4	1	3	3	3107111	15039033	1	94
Potra000101g00334	4	2	0	0	3107111	15039033	1	94
Potra000101g00335	13	2	8	2	3107111	15039033	1	94
Potra000101g00337	11	1	3	2	3107111	15039033	1	94
Potra000101g00338	16	11	15	8	3107111	15039033	1	94
Potra000101g00339	19	5	5	1	3107111	15039033	1	94
Potra000101g00340	12	3	9	6	3107111	15039033	1	94
Potra000101g00341	5	3	3	0	3107111	15039033	1	94
Potra000102g00342	8	4	4	1	3107111	15039033	1	94
Potra000102g00344	12	2	8	3	3107111	15039033	1	94
Potra000102g00346	4	3	3	2	3107111	15039033	1	94
Potra000102g00347	34	15	21	8	3107111	15039033	1	94
Potra000102g00348	21	12	16	6	3107111	15039033	1	94
Potra000103g00349	20	11	29	13	3107111	15039033	1	94
Potra000104g00351	49	24	15	13	3107111	15039033	1	94
Potra000104g00352	6	4	1	1	3107111	15039033	1	94
Potra000105g00356	20	6	5	0	3107111	15039033	1	94
Potra000105g00357	2	0	6	4	3107111	15039033	1	94
Potra000105g00358	3	0	5	3	3107111	15039033	1	94
Potra000106g00360	5	2	5	3	3107111	15039033	1	94
Potra000106g00361	18	19	8	6	3107111	15039033	1	94
Potra000106g00362	26	14	17	11	3107111	15039033	1	94
Potra000106g00363	15	6	3	1	3107111	15039033	1	94
Potra000107g00364	15	5	7	6	3107111	15039033	1	94
Potra000107g00365	44	19	16	3	3107111	15039033	1	94
Potra000113g00371	30	10	3	4	3107111	15039033	1	94
Potra000113g00372	26	38	10	18	3107111	15039033	1	94
Potra000113g00373	11	10	7	4	3107111	15039033	1	94
Potra000114g00375	7	2	1	0	3107111	15039033	1	94
Potra000115g00376	9	10	3	1	3107111	15039033	1	94
Potra000116g00377	35	9	9	6	3107111	15039033	1	94
Potra000116g00378	1	4	0	0	3107111	15039033	1	94
Potra000116g00379	2	3	4	4	3107111	15039033	1	94
Potra000116g00381	3	1	2	0	3107111	15039033	1	94
Potra000117g00382	3	2	2	2	3107111	15039033	1	94
Potra000117g00383	6	5	4	1	3107111	15039033	1	94
Potra000118g00384	4	3	1	1	3107111	15039033	1	94
Potra000118g00385	0	0	0	0	3107111	15039033	1	94
Potra000119g00387	12	9	6	4	3107111	15039033	1	94
Potra000119g00388	6	15	6	5	3107111	15039033	1	94
Potra000119g00389	13	6	3	1	3107111	15039033	1	94
Potra000119g00391	4	9	4	5	3107111	15039033	1	94
Potra000119g30644	2	0	1	0	3107111	15039033	1	94
Potra000120g00392	23	20	15	13	3107111	15039033	1	94
Potra000120g00393	8	16	3	4	3107111	15039033	1	94
Potra000120g00395	11	12	17	9	3107111	15039033	1	94
Potra000121g00396	1	1	0	1	3107111	15039033	1	94
Potra000121g00397	16	13	6	6	3107111	15039033	1	94
Potra000123g00399	22	4	19	7	3107111	15039033	1	94
Potra000123g00400	0	0	0	0	3107111	15039033	1	94
Potra000124g00402	11	18	13	9	3107111	15039033	1	94
Potra000125g00404	24	8	19	5	3107111	15039033	1	94
Potra000125g00405	14	2	6	2	3107111	15039033	1	94
Potra000125g00406	21	13	7	3	3107111	15039033	1	94
Potra000125g00407	27	10	4	0	3107111	15039033	1	94
Potra000125g00408	13	12	14	20	3107111	15039033	1	94
Potra000125g00410	9	5	3	1	3107111	15039033	1	94
Potra000126g00412	6	15	5	3	3107111	15039033	1	94
Potra000126g00413	4	7	0	1	3107111	15039033	1	94
Potra000127g00414	3	4	1	4	3107111	15039033	1	94
Potra000127g00415	2	2	3	0	3107111	15039033	1	94
Potra000127g00416	2	2	3	6	3107111	15039033	1	94
Potra000128g00419	6	3	2	5	3107111	15039033	1	94
Potra000128g00420	15	7	9	5	3107111	15039033	1	94
Potra000128g00421	28	14	11	5	3107111	15039033	1	94
Potra000129g00422	24	19	19	22	3107111	15039033	1	94
Potra000129g00424	32	9	14	7	3107111	15039033	1	94
Potra000129g00425	4	0	3	2	3107111	15039033	1	94
Potra000129g00426	7	1	2	4	3107111	15039033	1	94
Potra000130g00429	42	46	16	13	3107111	15039033	1	94
Potra000130g00430	15	9	10	14	3107111	15039033	1	94
Potra000130g00432	13	10	6	7	3107111	15039033	1	94
Potra000130g00433	8	13	18	11	3107111	15039033	1	94
Potra000130g00436	6	3	11	7	3107111	15039033	1	94
Potra000131g00437	25	19	16	10	3107111	15039033	1	94
Potra000131g00438	4	6	8	7	3107111	15039033	1	94
Potra000131g00439	9	4	11	7	3107111	15039033	1	94
Potra000131g00441	17	13	10	9	3107111	15039033	1	94
Potra000131g00442	42	18	25	11	3107111	15039033	1	94
Potra000131g34695	0	0	0	0	3107111	15039033	1	94
Potra000132g00443	36	12	10	10	3107111	15039033	1	94
Potra000132g00445	3	3	7	1	3107111	15039033	1	94
Potra000132g00446	24	15	16	8	3107111	15039033	1	94
Potra000132g00447	5	1	5	3	3107111	15039033	1	94
Potra000133g00448	17	4	5	1	3107111	15039033	1	94
Potra000134g00449	24	12	12	5	3107111	15039033	1	94
Potra000134g00451	7	6	5	7	3107111	15039033	1	94
Potra000134g00452	8	5	2	2	3107111	15039033	1	94
Potra000134g00453	29	29	7	11	3107111	15039033	1	94
Potra000135g00454	5	2	3	7	3107111	15039033	1	94
Potra000135g00455	2	1	5	4	3107111	15039033	1	94
Potra000135g00456	15	6	9	4	3107111	15039033	1	94
Potra000135g00458	29	17	19	6	3107111	15039033	1	94
Potra000135g00459	15	13	6	4	3107111	15039033	1	94
Potra000136g00460	5	4	6	3	3107111	15039033	1	94
Potra000136g00461	27	11	7	6	3107111	15039033	1	94
Potra000136g00463	13	23	10	7	3107111	15039033	1	94
Potra000137g00464	15	5	20	2	3107111	15039033	1	94
Potra000137g00466	2	1	1	0	3107111	15039033	1	94
Potra000137g00467	5	2	1	2	3107111	15039033	1	94
Potra000137g00468	8	3	9	4	3107111	15039033	1	94
Potra000137g00469	49	12	24	6	3107111	15039033	1	94
Potra000138g00470	5	4	6	6	3107111	15039033	1	94
Potra000138g00471	5	10	4	0	3107111	15039033	1	94
Potra000138g00472	2	2	6	0	3107111	15039033	1	94
Potra000138g00475	15	2	3	3	3107111	15039033	1	94
Potra000138g00476	7	4	1	3	3107111	15039033	1	94
Potra000138g00478	5	5	3	7	3107111	15039033	1	94
Potra000138g00479	5	2	5	3	3107111	15039033	1	94
Potra000139g00480	14	4	3	2	3107111	15039033	1	94
Potra000139g00482	16	17	9	11	3107111	15039033	1	94
Potra000140g00483	15	15	8	11	3107111	15039033	1	94
Potra000140g00484	7	2	5	5	3107111	15039033	1	94
Potra000140g00485	20	23	5	5	3107111	15039033	1	94
Potra000140g00487	19	14	9	5	3107111	15039033	1	94
Potra000141g00488	15	14	11	9	3107111	15039033	1	94
Potra000141g00489	34	24	12	9	3107111	15039033	1	94
Potra000141g00490	9	6	18	9	3107111	15039033	1	94
Potra000141g00491	0	2	1	3	3107111	15039033	1	94
Potra000141g00492	21	26	9	7	3107111	15039033	1	94
Potra000141g00493	10	11	7	5	3107111	15039033	1	94
Potra000141g00494	3	4	3	1	3107111	15039033	1	94
Potra000141g00495	8	1	9	5	3107111	15039033	1	94
Potra000142g00496	16	6	3	2	3107111	15039033	1	94
Potra000142g00497	2	0	0	4	3107111	15039033	1	94
Potra000142g00498	15	5	11	1	3107111	15039033	1	94
Potra000142g30816	17	4	6	3	3107111	15039033	1	94
Potra000143g00499	16	8	3	7	3107111	15039033	1	94
Potra000143g00500	12	7	11	7	3107111	15039033	1	94
Potra000143g00501	8	4	12	3	3107111	15039033	1	94
Potra000143g00502	8	2	5	0	3107111	15039033	1	94
Potra000144g00503	18	17	17	5	3107111	15039033	1	94
Potra000145g00504	24	37	11	7	3107111	15039033	1	94
Potra000145g00505	107	27	38	7	3107111	15039033	1	94
Potra000145g00506	1	2	0	0	3107111	15039033	1	94
Potra000146g00507	0	0	0	0	3107111	15039033	1	94
Potra000146g00509	14	6	3	2	3107111	15039033	1	94
Potra000146g00511	7	4	0	2	3107111	15039033	1	94
Potra000146g00513	2	2	4	0	3107111	15039033	1	94
Potra000146g35669	0	0	0	0	3107111	15039033	1	94
Potra000147g00515	15	9	2	2	3107111	15039033	1	94
Potra000147g00517	13	8	10	6	3107111	15039033	1	94
Potra000148g00518	6	6	3	4	3107111	15039033	1	94
Potra000148g00519	25	36	9	11	3107111	15039033	1	94
Potra000148g00520	12	5	11	6	3107111	15039033	1	94
Potra000148g30849	1	1	0	1	3107111	15039033	1	94
Potra000149g00521	22	15	20	18	3107111	15039033	1	94
Potra000149g00522	25	7	18	3	3107111	15039033	1	94
Potra000149g00523	7	2	13	4	3107111	15039033	1	94
Potra000149g00524	1	0	1	2	3107111	15039033	1	94
Potra000149g00525	27	23	19	9	3107111	15039033	1	94
Potra000149g00527	30	11	8	5	3107111	15039033	1	94
Potra000150g00528	13	26	7	6	3107111	15039033	1	94
Potra000150g00530	13	16	0	7	3107111	15039033	1	94
Potra000151g00531	43	18	5	10	3107111	15039033	1	94
Potra000151g00532	13	10	4	4	3107111	15039033	1	94
Potra000151g00534	5	3	3	1	3107111	15039033	1	94
Potra000151g00535	34	22	14	12	3107111	15039033	1	94
Potra000151g00541	20	9	36	13	3107111	15039033	1	94
Potra000152g00544	8	5	4	3	3107111	15039033	1	94
Potra000152g00545	6	4	4	2	3107111	15039033	1	94
Potra000153g00546	44	45	26	27	3107111	15039033	1	94
Potra000153g00547	19	0	14	0	3107111	15039033	1	94
Potra000153g00548	8	4	11	2	3107111	15039033	1	94
Potra000154g00549	24	8	15	9	3107111	15039033	1	94
Potra000155g00552	16	8	6	3	3107111	15039033	1	94
Potra000156g00555	4	0	2	1	3107111	15039033	1	94
Potra000156g00556	14	8	6	3	3107111	15039033	1	94
Potra000156g00559	22	1	10	5	3107111	15039033	1	94
Potra000156g00561	6	5	3	3	3107111	15039033	1	94
Potra000156g30921	6	2	8	2	3107111	15039033	1	94
Potra000157g00562	1	1	1	0	3107111	15039033	1	94
Potra000157g00564	14	6	1	1	3107111	15039033	1	94
Potra000157g00565	8	3	2	0	3107111	15039033	1	94
Potra000158g00567	12	7	7	2	3107111	15039033	1	94
Potra000158g00569	21	9	24	13	3107111	15039033	1	94
Potra000159g00570	51	7	50	3	3107111	15039033	1	94
Potra000159g00571	15	6	3	5	3107111	15039033	1	94
Potra000160g00573	17	8	12	10	3107111	15039033	1	94
Potra000160g00574	14	12	8	2	3107111	15039033	1	94
Potra000160g00575	0	0	0	0	3107111	15039033	1	94
Potra000160g00576	21	9	4	3	3107111	15039033	1	94
Potra000160g00577	16	6	25	9	3107111	15039033	1	94
Potra000160g00578	14	3	7	3	3107111	15039033	1	94
Potra000161g00579	19	10	11	6	3107111	15039033	1	94
Potra000161g00580	0	0	0	0	3107111	15039033	1	94
Potra000161g00581	5	12	4	5	3107111	15039033	1	94
Potra000161g00582	16	7	11	7	3107111	15039033	1	94
Potra000161g00583	29	7	18	11	3107111	15039033	1	94
Potra000161g00584	3	1	9	5	3107111	15039033	1	94
Potra000162g00587	19	8	14	15	3107111	15039033	1	94
Potra000162g00588	39	24	14	7	3107111	15039033	1	94
Potra000162g00589	17	7	20	11	3107111	15039033	1	94
Potra000162g00591	38	31	26	30	3107111	15039033	1	94
Potra000162g00592	14	16	8	3	3107111	15039033	1	94
Potra000162g00593	6	6	8	2	3107111	15039033	1	94
Potra000162g00594	2	1	10	4	3107111	15039033	1	94
Potra000162g00595	49	22	14	10	3107111	15039033	1	94
Potra000162g00596	45	28	17	8	3107111	15039033	1	94
Potra000163g00598	5	9	12	10	3107111	15039033	1	94
Potra000163g00599	14	1	5	7	3107111	15039033	1	94
Potra000163g31022	4	7	1	0	3107111	15039033	1	94
Potra000164g00600	52	23	8	3	3107111	15039033	1	94
Potra000164g00601	0	0	4	3	3107111	15039033	1	94
Potra000164g00602	25	18	10	5	3107111	15039033	1	94
Potra000164g00603	24	16	9	11	3107111	15039033	1	94
Potra000164g00604	1	1	3	5	3107111	15039033	1	94
Potra000164g35090	0	0	0	0	3107111	15039033	1	94
Potra000165g00606	7	3	2	1	3107111	15039033	1	94
Potra000165g00607	4	4	7	1	3107111	15039033	1	94
Potra000165g00609	23	14	6	6	3107111	15039033	1	94
Potra000165g00613	20	15	6	6	3107111	15039033	1	94
Potra000166g00615	2	1	0	4	3107111	15039033	1	94
Potra000166g00617	4	1	3	2	3107111	15039033	1	94
Potra000166g00619	14	7	9	5	3107111	15039033	1	94
Potra000166g00621	24	23	9	8	3107111	15039033	1	94
Potra000167g00622	17	16	21	16	3107111	15039033	1	94
Potra000167g00623	7	8	5	3	3107111	15039033	1	94
Potra000167g00624	1	2	0	1	3107111	15039033	1	94
Potra000167g00625	27	24	14	12	3107111	15039033	1	94
Potra000167g00626	1	0	5	2	3107111	15039033	1	94
Potra000167g00627	25	7	33	22	3107111	15039033	1	94
Potra000167g00629	22	15	29	20	3107111	15039033	1	94
Potra000168g00631	19	11	6	8	3107111	15039033	1	94
Potra000168g00633	7	3	14	2	3107111	15039033	1	94
Potra000168g00634	29	15	12	13	3107111	15039033	1	94
Potra000169g00635	14	5	13	7	3107111	15039033	1	94
Potra000169g00636	2	0	7	3	3107111	15039033	1	94
Potra000169g00637	15	1	8	4	3107111	15039033	1	94
Potra000169g00638	8	4	13	5	3107111	15039033	1	94
Potra000169g00640	5	2	4	1	3107111	15039033	1	94
Potra000170g00643	28	42	3	5	3107111	15039033	1	94
Potra000171g00644	5	12	7	10	3107111	15039033	1	94
Potra000172g00645	0	0	0	0	3107111	15039033	1	94
Potra000172g00646	7	16	2	4	3107111	15039033	1	94
